date,title,pdf_filename,url
02/03/2023,Comunicado N° 01-2023-CF Comunicado del Consejo Fiscal con relación a la sentencia del Tribunal Constitucional que dispone prohibir la aplicación de intereses moratorios una vez vencidos los plazos legales para resolver las controversias tributarias,Comunicado_N_01-2023-CF.pdf,https://cf.gob.pe/uncategorized/comunicado-n-01-2023-cf-comunicado-del-consejo-fiscal-con-relacion-a-la-sentencia-del-tribunal-constitucional-que-dispone-prohibir-la-aplicacion-de-intereses-moratorios-una-vez-vencidos-los-plaz/
08/11/2022,Comunicado N° 05-2022-CF Comunicado del Consejo Fiscal que expresa su preocupación por la interpretación del Tribunal Constitucional acerca de la prohibición del Congreso para generar gasto público,Comunicado_N_05-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-05-2022-cf-comunicado-del-consejo-fiscal-que-expresa-su-preocupacion-por-la-interpretacion-del-tribunal-constitucional-acerca-de-la-prohibicion-del-congreso-para-generar-gasto-publi/
28/10/2022,"Comunicado N° 04-2022-CF Comunicado del Consejo Fiscal sobre la situación financiera de Petroperú S.A. y el  Decreto de Urgencia N°023-2022, que establece medidas en materia económica y  financiera destinadas a evitar el desabastecimiento de combustible a nivel  nacional",Comunicado_N_04-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-04-2022-cf-comunicado-del-consejo-fiscal-sobre-la-situacion-financiera-de-petroperu-s-a-y-el-decreto-de-urgencia-n023-2022-que-establece-medidas-en-materia-economica-y-fin/
26/05/2022,Comunicado N° 03-2022-CF Comunicado del Consejo Fiscal sobre la norma que dispone el pago de la  bonificación por preparación de clases sin la exigencia de sentencia judicial,Comunicado_N_03-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-03-2022-cf-comunicado-del-consejo-fiscal-sobre-la-norma-que-dispone-el-pago-de-la-bonificacion-por-preparacion-de-clases-y-otras-sin-la-exigencia-de-sentencia-judicial-y-menos-en/
24/05/2022,Comunicado N° 02-2022-CF Comunicado del Consejo Fiscal respecto a nueva norma de retiro de fondos del Sistema Privado de Pensiones,Comunicado_N_02-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-02-2022-cf-comunicado-del-consejo-fiscal-respecto-a-nueva-norma-de-retiro-de-fondos-del-sistema-privado-de-pensiones/
14/01/2022,Comunicado N° 01-2022-CF Comunicado del Consejo Fiscal respecto a nueva norma sobre la devolución de  aportes del FONAVI,Comunicado_N_01-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-respecto-a-nueva-norma-sobre-la-devolucion-de-aportes-del-fonavi/
28/12/2021,Comunicado del Consejo Fiscal sobre la urgencia de establecer un nuevo marco  fiscal de mediano plazo,Comunicado_del_Consejo_Fiscal_sobre_la_urgencia_de_establecer_un_nuevo_marco_fiscal_de_mediano_plazo.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-urgencia-de-establecer-un-nuevo-marco-fiscal-de-mediano-plazo/
30/10/2021,Comunicado del Consejo Fiscal sobre el Decreto de Urgencia N° 100-2021  mediante el cual se incorpora un crédito suplementario en el presupuesto del  Sector Público,Comunicado_N_100-2021.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-el-decreto-de-urgencia-n-100-2021-mediante-el-cual-se-incorpora-un-credito-suplementario-en-el-presupuesto-del-sector-publico/
11/10/2021,Comunicado del Consejo Fiscal sobre el Decreto de Urgencia N° 086-2021  mediante el cual se incorpora un crédito suplementario en el presupuesto del  Sector Público,Comunicado_N_086-2021.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-el-decreto-de-urgencia-n-086-2021-mediante-el-cual-se-incorpora-un-credito-suplementario-en-el-presupuesto-del-sector-publico/
06/05/2021,Comunicado del Consejo Fiscal sobre la aprobación de la Ley de Negociación Colectiva en el Sector Estatal,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_la_Ley_de_Negociación_Colectiva_en_el_Sector_Es.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-la-ley-de-negociacion-colectiva-en-el-sector-estatal/
